,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BournemouthAFC_6338,55,6,18,6,6,7,0,48,18,2,6,17,11,18,488,80
StokeCity_6338,33,13,10,4,3,7,1,35,14,2,3,34,11,24,285,69
CrystalPalace_6339,30,13,12,4,7,3,3,33,21,None,1,27,2,11,200,60
WestHamUnited_6339,33,5,12,3,6,4,2,27,12,7,1,23,8,12,286,71
TottenhamHotspur_6339,60,14,15,7,5,8,1,20,13,1,2,25,11,25,528,82
Arsenal_6346,50,10,17,9,3,4,2,17,9,6,5,23,7,12,441,84
Burnley_6346,44,11,9,1,7,2,2,46,25,2,1,21,6,24,394,69
Chelsea_6346,72,8,29,8,12,11,1,14,9,2,8,25,11,9,643,91
HullCity_6346,35,14,10,4,4,2,None,14,7,7,2,34,4,18,310,74
LeicesterCity_6346,49,11,21,5,9,9,4,41,24,3,7,36,14,30,414,79
Liverpool_6346,74,13,25,10,9,3,0,26,7,3,6,17,10,27,751,89
ManchesterUnited_6346,59,16,9,2,3,3,2,22,6,1,4,33,17,17,539,88
Southampton_6346,61,12,15,6,3,4,2,36,12,2,5,16,5,15,510,85
SwanseaCity_6346,66,8,12,2,6,7,1,24,16,4,4,17,9,20,590,87
Watford_6346,33,12,6,3,2,4,1,14,6,4,1,38,10,19,294,76
