,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Rennes_5485,51,9,11,7,3,5,0,24,18,2,1,16,8,24,456,81
Lens_5485,56,21,10,2,3,8,3,35,19,1,5,36,3,22,441,78
Caen_5485,42,13,5,2,2,6,1,42,15,3,1,29,11,28,350,74
Metz_5486,43,18,9,3,6,4,3,53,27,1,0,31,6,21,347,67
Toulouse_5486,36,17,9,2,5,5,3,24,16,2,2,26,4,22,347,71
Bordeaux_5486,42,15,9,5,3,2,1,28,15,4,1,25,7,19,367,77
Nice_5491,49,19,9,2,5,6,5,27,14,2,2,13,5,16,380,73
Lyon_5492,55,12,8,4,3,1,None,32,17,4,1,33,15,27,461,73
Bastia_5492,39,18,3,1,1,2,1,61,30,3,1,32,4,36,272,57
Reims_5492,59,18,12,2,5,8,3,33,16,4,5,25,7,34,434,81
Montpellier_5492,53,14,14,5,7,6,1,31,13,1,2,24,12,30,408,74
Lille_5492,48,13,13,4,8,7,1,44,28,5,1,17,10,26,385,72
Nantes_5492,45,18,13,2,7,5,1,38,18,3,4,42,12,34,355,68
EvianThononGaillard_5493,35,14,5,1,4,4,1,33,13,4,0,32,9,17,322,75
SaintEtienne_5493,51,19,5,1,3,8,1,35,18,1,1,11,12,33,430,79
Guingamp_5493,43,13,11,4,6,4,1,26,13,5,1,42,7,19,241,66
Marseille_5498,56,23,18,3,11,5,3,29,11,1,4,21,10,29,339,79
Monaco_5499,43,24,9,2,5,4,2,33,21,1,2,35,16,24,330,75
Lorient_5499,57,8,17,5,8,2,1,39,17,3,4,22,12,33,528,78
Nantes_5499,58,17,14,6,5,2,2,46,30,2,3,45,14,23,533,83
Bordeaux_5499,54,14,13,4,9,5,2,47,23,4,0,16,7,19,410,81
Metz_5500,31,17,5,2,2,2,2,23,14,4,1,34,3,24,222,62
Toulouse_5500,53,17,9,4,3,4,2,35,22,2,2,30,14,52,414,67
Caen_5500,45,14,11,5,4,3,None,25,15,4,2,10,5,27,333,71
Lens_5500,43,21,20,7,6,6,1,60,36,3,7,34,6,26,240,62
ParisSaintGermain_5500,60,8,11,3,5,3,3,37,20,1,3,21,10,21,615,87
Rennes_5505,43,16,7,2,2,6,1,23,7,1,3,22,16,26,362,80
EvianThononGaillard_5506,39,17,3,1,2,0,2,22,11,0,0,38,2,19,350,73
Bastia_5506,47,12,4,1,3,2,2,45,25,4,0,30,5,20,352,67
Lille_5506,37,7,14,3,8,1,1,30,16,6,3,17,4,27,329,67
Montpellier_5506,46,10,7,1,5,3,1,37,26,5,1,33,11,29,362,65
Nice_5506,50,13,4,0,3,1,1,31,18,3,1,35,4,31,335,62
Reims_5506,49,20,5,2,2,0,2,34,22,2,1,37,6,37,392,64
SaintEtienne_5507,63,12,11,1,9,12,2,39,15,4,1,27,6,24,456,82
Guingamp_5507,40,11,9,5,3,4,4,25,8,2,1,23,6,18,297,70
Lyon_5507,52,14,6,3,2,2,1,25,11,1,1,36,14,26,514,80
Lens_5512,45,10,13,8,5,4,2,48,21,3,0,45,5,32,377,73
Marseille_5513,55,12,10,2,4,4,3,19,6,1,4,22,15,24,468,84
Toulouse_5513,51,15,13,1,5,8,2,37,13,2,7,32,6,31,376,65
Lille_5513,47,20,9,5,3,1,1,53,25,7,1,26,11,30,409,69
Lorient_5513,47,14,12,4,5,6,1,30,14,3,3,27,10,25,416,70
Metz_5513,38,17,8,5,3,2,5,32,21,6,0,35,2,17,281,66
Bordeaux_5513,45,19,4,1,3,1,3,49,23,4,0,32,8,23,399,78
Monaco_5514,64,14,19,5,8,7,2,30,15,1,6,35,17,15,492,85
Nantes_5514,48,17,8,2,5,1,2,45,21,7,1,30,17,37,367,69
ParisSaintGermain_5514,61,11,14,6,4,3,2,23,14,1,4,28,13,15,663,88
Reims_5519,37,15,14,5,7,4,2,31,12,3,2,35,1,15,260,75
Caen_5520,39,17,14,7,4,5,2,27,9,4,3,39,9,20,349,79
Bastia_5520,51,14,6,2,2,3,2,54,25,3,2,31,11,25,500,82
Nice_5520,53,21,5,1,4,3,3,47,33,1,0,37,13,30,351,77
Rennes_5520,46,21,11,3,5,5,1,39,17,4,3,27,3,26,292,64
EvianThononGaillard_5520,35,18,8,3,3,2,2,44,20,3,2,37,5,22,281,63
SaintEtienne_5521,51,14,11,4,6,3,2,26,17,3,1,25,8,32,318,73
Guingamp_5521,46,9,13,5,5,3,1,25,10,2,3,29,5,32,307,60
