,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
VfBStuttgart_5464,42,16,11,3,8,5,1,87,35,5,0,40,9,29,321,60
Schalke_5464,53,11,17,8,5,7,1,58,28,6,4,29,15,27,492,75
BayerLeverkusen_5464,57,18,16,3,8,4,3,83,48,4,5,24,12,37,418,67
VfLWolfsburg_5464,61,5,14,3,8,4,None,49,30,3,3,36,13,22,631,83
HerthaBerlin_5465,45,17,8,1,4,2,3,57,25,4,3,39,10,31,335,69
SCFreiburg_5465,43,12,11,6,4,6,3,51,14,6,1,37,13,35,361,62
VfLWolfsburg_5505,32,13,13,6,6,1,2,36,13,6,1,31,15,10,306,72
FSVMainz_5506,54,14,21,8,9,9,0,63,25,2,4,28,18,16,432,73
Schalke_5506,40,15,15,5,7,5,2,45,26,1,3,44,7,28,339,72
SCFreiburg_5506,48,11,15,8,3,3,3,48,23,5,4,26,16,26,384,73
VfBStuttgart_5506,45,13,13,1,9,4,3,38,18,1,3,23,5,29,421,78
HamburgerSV_5506,46,17,10,3,6,3,2,74,35,4,1,31,8,19,416,70
BayerLeverkusen_5506,54,20,7,3,3,4,1,103,42,2,1,29,18,25,444,69
WerderBremen_5507,56,16,19,8,6,6,4,61,35,0,5,39,6,28,443,74
Augsburg_5507,51,20,15,7,6,4,2,63,39,4,2,28,7,27,376,72
