,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Villarreal_5969,54,14,11,4,4,8,3,16,11,2,3,15,12,23,592,90
Valencia_5974,47,17,8,0,8,4,2,26,11,6,0,34,7,32,430,78
GranadaCF_5975,42,12,8,2,5,5,5,15,3,7,1,30,8,13,271,76
DeportivoLaCoruna_5975,42,6,10,2,6,4,1,12,5,3,2,31,8,17,457,82
AtleticoMadrid_5975,45,16,12,5,5,4,4,19,10,4,2,36,16,22,449,78
AthleticBilbao_5975,56,13,13,6,4,7,1,20,11,3,3,25,4,16,519,82
Malaga_5976,42,16,14,8,1,3,1,20,7,6,5,21,5,14,307,75
RCDEspanyol_5976,47,10,11,7,3,3,4,37,21,6,1,20,10,21,426,74
SportingGijon_5976,57,9,16,7,6,4,1,20,10,5,3,32,11,17,530,85
RayoVallecano_5976,50,12,21,9,8,9,1,36,21,1,4,26,6,25,504,84
RealBetis_5976,52,8,7,4,3,3,1,23,14,4,0,39,11,17,498,85
