,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
NewcastleUtd_5549,49,3,2,2,2,2,0,12,2,4
Liverpool_5550,42,2,4,0,3,2,0,4,2,8
WestBrom_5555,20,0,0,0,2,0,0,9,6,3
Leicester_5555,30,3,3,1,5,1,2,19,0,5
CrystalPalace_5555,47,2,3,1,8,1,0,11,0,5
Burnley_5555,39,3,2,5,3,3,0,8,1,2
Arsenal_5555,60,2,1,5,10,2,2,14,0,2
Swansea_5555,61,2,0,2,8,3,4,14,1,5
Sunderland_5555,46,2,1,0,9,1,0,9,2,5
ManchesterUnited_5556,60,2,0,1,6,3,3,17,0,6
Everton_5556,53,2,1,3,6,1,2,13,0,7
Chelsea_5556,52,2,1,0,8,0,0,16,3,6
Liverpool_5569,40,0,2,1,4,1,2,13,2,5
QPR_5569,45,4,2,1,5,2,1,10,1,5
HullCity_5569,41,0,1,1,4,2,1,8,1,7
AstonVilla_5569,26,1,0,1,8,0,1,6,3,3
WestHam_5569,55,4,2,0,10,3,0,15,1,2
Southampton_5569,54,2,4,1,6,4,1,13,0,8
StokeCity_5569,38,1,1,1,5,0,0,4,3,11
Tottenham_5570,58,2,4,0,4,2,1,16,3,4
NewcastleUtd_5570,37,0,1,1,6,0,0,9,2,10
ManchesterCity_5571,73,2,6,2,6,5,0,19,1,5
QPR_5572,38,2,2,2,7,2,0,15,3,8
Everton_5576,48,5,0,0,7,4,0,7,1,5
StokeCity_5576,68,0,5,4,10,6,1,13,1,6
Leicester_5576,52,1,3,0,10,3,1,11,1,6
AstonVilla_5576,42,1,3,2,7,1,1,13,3,3
CrystalPalace_5576,47,0,1,4,9,2,0,14,1,8
HullCity_5576,45,2,4,5,5,2,0,11,2,3
Arsenal_5576,69,3,3,2,14,1,1,12,2,5
Chelsea_5577,62,0,2,1,6,2,2,10,1,2
ManchesterCity_5577,42,2,2,3,5,4,1,18,0,9
NewcastleUtd_5578,43,2,1,1,5,2,2,13,3,10
Southampton_5583,49,2,2,1,11,2,0,14,0,11
Swansea_5583,55,3,1,1,4,1,3,9,0,3
Burnley_5583,39,1,3,1,6,2,0,13,2,8
WestBrom_5583,33,1,2,1,8,2,1,10,3,9
ManchesterUnited_5583,70,0,3,2,3,5,0,11,0,5
WestHam_5584,37,2,0,1,8,2,1,4,0,3
Tottenham_5584,65,3,1,0,6,1,2,11,3,7
Tottenham_5590,62,1,1,1,6,2,0,16,1,6
Liverpool_5590,78,0,5,3,6,3,0,11,0,6
Sunderland_5590,31,1,3,0,8,1,1,13,5,10
WestHam_5590,45,1,2,1,6,5,2,23,2,3
Swansea_5590,52,3,3,0,6,3,1,9,1,6
HullCity_5590,56,2,3,2,9,6,0,11,3,7
Leicester_5590,51,1,1,0,9,3,0,19,1,9
AstonVilla_5590,56,1,4,2,5,4,4,13,1,6
ManchesterUnited_5591,62,2,2,5,5,4,1,14,2,6
Chelsea_5591,37,1,1,1,6,1,0,7,1,5
Liverpool_5593,68,4,0,1,7,2,0,14,3,6
Chelsea_5594,60,0,2,1,8,3,2,18,1,0
NewcastleUtd_5597,59,1,5,2,8,4,0,17,2,3
Burnley_5597,39,1,3,1,9,1,2,8,2,4
StokeCity_5597,55,1,2,2,4,2,0,8,1,9
Southampton_5597,54,1,4,1,9,1,1,8,3,6
QPR_5597,36,0,5,0,5,3,2,11,2,7
Everton_5597,45,0,0,0,5,0,2,17,1,4
WestBrom_5597,22,2,1,0,6,2,0,9,3,5
CrystalPalace_5598,42,0,1,2,9,2,2,10,5,9
ManchesterCity_5598,41,2,4,1,4,3,1,7,2,5
Arsenal_5599,66,6,1,2,7,1,1,6,0,7
Sunderland_5604,28,1,1,2,5,0,1,12,1,5
